image,kontext_images,prompt
/data/datasets/DROID/train_v4/final/30314_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/30314_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the light green cup from the countertop. Place the light green cup inside the light green bowl."
/data/datasets/DROID/train_v4/final/30314_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/30314_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up a knife from the countertop. Place the knife in the light green cup."
/data/datasets/DROID/train_v4/final/11300_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/11300_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup from the counter. Place the cup on the table."
/data/datasets/DROID/train_v4/final/11300_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/11300_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the bowl from the counter. Place the bowl on the table."
/data/datasets/DROID/train_v4/final/90405_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/90405_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the orange block on the blue table. Place the orange block in the black bowl."
/data/datasets/DROID/train_v4/final/90405_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/90405_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the green block on the blue table. Place the green block in the black bowl."
/data/datasets/DROID/train_v4/final/41090_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/41090_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup on the table. Place the cup on top of the cup."
/data/datasets/DROID/train_v4/final/41090_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/41090_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup from the table. Place the cup on top of the cup."
/data/datasets/DROID/train_v4/final/69850_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/69850_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Remove glue stick from the mug. Place glue stick on the desktop."
/data/datasets/DROID/train_v4/final/69850_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/69850_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up glue stick from the desktop. Place glue stick into the mug."
/data/datasets/DROID/train_v4/final/41083_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/41083_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cylinder on the table. Place the cylinder on top of the other cylinders."
/data/datasets/DROID/train_v4/final/41083_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/41083_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the K-cup on the table. Place the K-cup on the cylinder."
/data/datasets/DROID/train_v4/final/67395_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/67395_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the marker from the cup. Place the marker on the table."
/data/datasets/DROID/train_v4/final/67395_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/67395_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the marker from the table. Place the marker back in the cup."
/data/datasets/DROID/train_v4/final/26552_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/26552_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the clothes and towels from the box. Place the clothes and towels on the tabletop."
/data/datasets/DROID/train_v4/final/26552_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/26552_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the clothes and towels from the bowl. Place the clothes and towels on the tabletop."
/data/datasets/DROID/train_v4/final/27881_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/27881_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the large black measuring cup from the pot. Place the black measuring cup on the countertop."
/data/datasets/DROID/train_v4/final/27881_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/27881_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the small measuring cup on the right from the countertop. Place the small measuring cup on the large measuring cup."
/data/datasets/DROID/train_v4/final/26544_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/26544_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the towel on the table. Place the towel on the black stand."
/data/datasets/DROID/train_v4/final/50728_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/50728_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the green block from the table. Place the green block in the black bowl."
/data/datasets/DROID/train_v4/final/50728_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/50728_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the green block from the table. Place the green block in the black bowl."
/data/datasets/DROID/train_v4/final/82177_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/82177_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the plate on the table. Place the plate on the table."
/data/datasets/DROID/train_v4/final/82177_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/82177_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the lid from the top of the bottle. Place the lid on the table."
/data/datasets/DROID/train_v4/final/49584_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/49584_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the towel from the table. Place the towel on the tripod."
/data/datasets/DROID/train_v4/final/49584_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/49584_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the towel from the tripod. Place the towel on the table."
/data/datasets/DROID/train_v4/final/78588_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/78588_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the coffee cup from the coffee machine. Place the coffee cup on the tabletop."
/data/datasets/DROID/train_v4/final/78588_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/78588_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the coffee pod from the tabletop. Place the coffee pod in the slot of the coffee machine."
/data/datasets/DROID/train_v4/final/66202_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/66202_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the orange towel on the table. Place the orange towel on the seat of the chair."
/data/datasets/DROID/train_v4/final/66202_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/66202_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the orange fabric on the table. Place the orange fabric on the seat of the chair."
/data/datasets/DROID/train_v4/final/10525_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/10525_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the yellow cup on the table. Place the yellow cup in the orange cup."
/data/datasets/DROID/train_v4/final/10525_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/10525_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the orange cup on the table. Place the orange cup in the orange cup."
/data/datasets/DROID/train_v4/final/47841_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/47841_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the pen from the light blue cup. Place the pen on the table."
/data/datasets/DROID/train_v4/final/47841_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/47841_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the pen from the table. Place the pen back in the light blue cup."
/data/datasets/DROID/train_v4/final/83729_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/83729_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the water bottle on the counter. Place the water bottle in the box."
/data/datasets/DROID/train_v4/final/83729_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/83729_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the second water bottle on the counter. Place the second water bottle in the box."
/data/datasets/DROID/train_v4/final/38712_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/38712_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup on the table. Place the cup into the cup."
/data/datasets/DROID/train_v4/final/38712_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/38712_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the stacked cups on the tabletop. Place the stacked cups into the cup."
/data/datasets/DROID/train_v4/final/63977_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/63977_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the green block on the table. Place the green block in the black bowl."
/data/datasets/DROID/train_v4/final/63977_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/63977_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the brown block on the table. Place the brown block in the black bowl."
/data/datasets/DROID/train_v4/final/85419_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v5a/kontext/85419_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup on the table. Place the cup into the yellow cup."
/data/datasets/DROID/train_v4/final/85419_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v5a/kontext/85419_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the stack of cups on the table. Place the stack of cups into the blue cup."
