image,kontext_images,prompt
/data/datasets/DROID/train_v8/final/30314_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v13o/kontext/30314_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the cup. Place it in the bowl."
/data/datasets/DROID/train_v8/final/30314_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v13o/kontext/30314_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the knife. Place it in the cup."
/data/datasets/DROID/train_v8/final/11300_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v13o/kontext/11300_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the cup. Place it on the table."
/data/datasets/DROID/train_v8/final/11300_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v13o/kontext/11300_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the bowl. Place it on the table."
/data/datasets/DROID/train_v8/final/90405_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v13o/kontext/90405_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the block. Place it in the bowl."
/data/datasets/DROID/train_v8/final/90405_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v13o/kontext/90405_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the block. Place it in the bowl."
/data/datasets/DROID/train_v8/final/41090_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v13o/kontext/41090_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the cup. Place it on the cup."
/data/datasets/DROID/train_v8/final/41090_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v13o/kontext/41090_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the cup. Place it on the cup."
/data/datasets/DROID/train_v8/final/69850_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v13o/kontext/69850_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the glue. Place it on the desktop."
/data/datasets/DROID/train_v8/final/69850_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v13o/kontext/69850_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue box marks exactly where the object must end up. Show the scene after the object has been moved to the marked location. Pick up the glue. Place it in the mug."
