image,kontext_images,prompt
/data1/dataset/DROID/train_v8/final/30314_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v10/kontext/30314_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the light green cup from the countertop. Place the light green cup inside the light green bowl."
/data1/dataset/DROID/train_v8/final/30314_exterior_image_2_left_pair1.png,/data1/dataset/DROID/train_v10/kontext/30314_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up a knife from the countertop. Place the knife in the light green cup."
/data1/dataset/DROID/train_v8/final/11300_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v10/kontext/11300_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup from the counter. Place the cup on the table."
/data1/dataset/DROID/train_v8/final/11300_exterior_image_1_left_pair1.png,/data1/dataset/DROID/train_v10/kontext/11300_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the bowl from the counter. Place the bowl on the table."
/data1/dataset/DROID/train_v8/final/90405_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v10/kontext/90405_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the orange block on the blue table. Place the orange block in the black bowl."
/data1/dataset/DROID/train_v8/final/90405_exterior_image_1_left_pair1.png,/data1/dataset/DROID/train_v10/kontext/90405_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the green block on the blue table. Place the green block in the black bowl."
/data1/dataset/DROID/train_v8/final/41090_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v10/kontext/41090_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup on the table. Place the cup on top of the cup."
/data1/dataset/DROID/train_v8/final/41090_exterior_image_2_left_pair1.png,/data1/dataset/DROID/train_v10/kontext/41090_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup from the table. Place the cup on top of the cup."
/data1/dataset/DROID/train_v8/final/69850_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v10/kontext/69850_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Remove glue stick from the mug. Place glue stick on the desktop."
/data1/dataset/DROID/train_v8/final/69850_exterior_image_1_left_pair1.png,/data1/dataset/DROID/train_v10/kontext/69850_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up glue stick from the desktop. Place glue stick into the mug."
