image,kontext_images,prompt
/data/datasets/DROID/train_v6/final/30314_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v6/kontext/30314_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 3 6 2 y 6 5 0 to x 4 1 9 y 7 8 3 , place point x 3 6 9 y 6 3 3 . Pick up the light green cup from the countertop. Place the light green cup inside the light green bowl."
/data/datasets/DROID/train_v6/final/30314_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v6/kontext/30314_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 4 1 9 y 6 6 1 to x 4 8 1 y 7 7 8 , place point x 4 0 0 y 5 6 7 . Pick up a knife from the countertop. Place the knife in the light green cup."
/data/datasets/DROID/train_v6/final/11300_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v6/kontext/11300_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 4 5 9 y 4 6 1 to x 5 3 4 y 5 2 8 , place point x 5 5 3 y 6 3 9 . Pick up the cup from the counter. Place the cup on the table."
/data/datasets/DROID/train_v6/final/11300_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v6/kontext/11300_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 4 8 4 y 5 1 1 to x 5 7 2 y 6 0 6 , place point x 5 3 1 y 5 2 2 . Pick up the bowl from the counter. Place the bowl on the table."
/data/datasets/DROID/train_v6/final/90405_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v6/kontext/90405_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 4 5 6 y 6 0 0 to x 4 9 1 y 6 6 1 , place point x 5 2 8 y 4 4 4 . Pick up the orange block on the blue table. Place the orange block in the black bowl."
/data/datasets/DROID/train_v6/final/90405_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v6/kontext/90405_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 4 1 2 y 5 8 9 to x 4 4 1 y 6 3 9 , place point x 5 4 4 y 3 6 7 . Pick up the green block on the blue table. Place the green block in the black bowl."
/data/datasets/DROID/train_v6/final/41090_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v6/kontext/41090_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 3 6 2 y 6 2 2 to x 4 3 4 y 7 9 4 , place point x 5 2 8 y 6 9 4 . Pick up the cup on the table. Place the cup on top of the cup."
/data/datasets/DROID/train_v6/final/41090_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v6/kontext/41090_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 5 0 0 y 6 4 4 to x 5 5 9 y 7 5 0 , place point x 5 6 9 y 7 5 6 . Pick up the cup from the table. Place the cup on top of the cup."
/data/datasets/DROID/train_v6/final/69850_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v6/kontext/69850_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 5 7 5 y 3 7 2 to x 6 0 0 y 4 0 6 , place point x 6 2 2 y 3 8 9 . Remove glue stick from the mug. Place glue stick on the desktop."
/data/datasets/DROID/train_v6/final/69850_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v6/kontext/69850_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 6 0 3 y 3 6 1 to x 6 4 1 y 4 1 7 , place point x 6 0 6 y 3 9 4 . Pick up glue stick from the desktop. Place glue stick into the mug."
