image,kontext_images,prompt
/data/datasets/DROID/train_ours_v2/final/30314_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_ours_v2/kontext/30314_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the light green cup from the countertop. Place the light green cup inside the light green bowl."
/data/datasets/DROID/train_ours_v2/final/30314_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_ours_v2/kontext/30314_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up a knife from the countertop. Place the knife in the light green cup."
/data/datasets/DROID/train_ours_v2/final/11300_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_ours_v2/kontext/11300_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup from the counter. Place the cup on the table."
/data/datasets/DROID/train_ours_v2/final/11300_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_ours_v2/kontext/11300_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the bowl from the counter. Place the bowl on the table."
/data/datasets/DROID/train_ours_v2/final/90405_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_ours_v2/kontext/90405_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the orange block on the blue table. Place the orange block in the black bowl."
/data/datasets/DROID/train_ours_v2/final/90405_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_ours_v2/kontext/90405_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the green block on the blue table. Place the green block in the black bowl."
/data/datasets/DROID/train_ours_v2/final/41090_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_ours_v2/kontext/41090_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup on the table. Place the cup on top of the cup."
/data/datasets/DROID/train_ours_v2/final/41090_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_ours_v2/kontext/41090_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup from the table. Place the cup on top of the cup."
/data/datasets/DROID/train_ours_v2/final/69850_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_ours_v2/kontext/69850_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Remove glue stick from the mug. Place glue stick on the desktop."
/data/datasets/DROID/train_ours_v2/final/69850_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_ours_v2/kontext/69850_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up glue stick from the desktop. Place glue stick into the mug."
/data/datasets/DROID/train_ours_v2/final/41083_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_ours_v2/kontext/41083_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cylinder on the table. Place the cylinder on top of the other cylinders."
