image,kontext_images,prompt
/data/datasets/DROID/train_v8capinf/final/11947_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/11947_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the purple object in the bowl. Place the purple object on the table."
/data/datasets/DROID/train_v8capinf/final/20175_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/20175_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the transparent container from the tabletop. Place the container on the tabletop."
/data/datasets/DROID/train_v8capinf/final/12515_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/12515_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the jar on the table. Place the jar on the scale."
/data/datasets/DROID/train_v8capinf/final/10885_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/10885_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup on the table. Place the cup behind the table."
/data/datasets/DROID/train_v8capinf/final/15069_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/15069_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the banana toy from the floor. Place the banana toy in the black backpack."
/data/datasets/DROID/train_v8capinf/final/11299_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/11299_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the blue cup from the drawer. Place the blue cup on the counter."
/data/datasets/DROID/train_v8capinf/final/14561_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/14561_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the red object on the counter. Place the red object inside the sink."
/data/datasets/DROID/train_v8capinf/final/13186_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v8capinf/kontext/13186_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the paper on the countertop. Place the paper in the transparent box."
/data/datasets/DROID/train_v8capinf/final/12361_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/12361_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the can on the table. Place the can on the metal plate."
/data/datasets/DROID/train_v8capinf/final/10854_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/10854_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the yellow pepper from the table. Place the yellow pepper inside the brown bowl."
/data/datasets/DROID/train_v8capinf/final/11904_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/11904_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the lid from the pot. Place the lid on the counter."
/data/datasets/DROID/train_v8capinf/final/12006_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/12006_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the lid on the pot. Place the lid on the countertop."
/data/datasets/DROID/train_v8capinf/final/12244_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/12244_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the orange can from the kitchen counter. Place the orange can in the sink."
/data/datasets/DROID/train_v8capinf/final/13622_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/13622_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the green block on the table. Place the green block on the orange block."
/data/datasets/DROID/train_v8capinf/final/20196_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/20196_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the first cushion on the sofa. Place the first cushion against the armrest."
/data/datasets/DROID/train_v8capinf/final/20196_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v8capinf/kontext/20196_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the second cushion on the sofa. Place the second cushion in front of the first cushion, against the armrest."
/data/datasets/DROID/train_v8capinf/final/13261_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/13261_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the marker on the table. Place the marker on the table."
/data/datasets/DROID/train_v8capinf/final/65787_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/65787_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the bag on the plate. Place the bag on the table."
/data/datasets/DROID/train_v8capinf/final/65787_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v8capinf/kontext/65787_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the drink on the square plate. Place the drink on the plate."
/data/datasets/DROID/train_v8capinf/final/18306_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v8capinf/kontext/18306_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the second cushion on the sofa. Place the second cushion in front of the first cushion, against the armrest."
/data/datasets/DROID/train_v8capinf/final/11233_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/11233_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the plush toy on the table. Place the plush toy at the edge of the table."
/data/datasets/DROID/train_v8capinf/final/15413_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/15413_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the pink object in the pot. Place the pink object on the countertop."
/data/datasets/DROID/train_v8capinf/final/10763_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/10763_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the lid from the countertop. Place the lid on the black pot."
/data/datasets/DROID/train_v8capinf/final/12063_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/12063_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the tissue from the box. Place the tissue on the table."
/data/datasets/DROID/train_v8capinf/final/13508_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v8capinf/kontext/13508_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the seal tape on the blue table. Place the seal tape at the front of the table."
