image,kontext_images,prompt,loss_weight
/data1/dataset/DROID/train_v8/final/11947_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/11947_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the purple object in the bowl. Place the purple object on the table.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/11947_exterior_image_1_left_pair0.png
/data1/dataset/DROID/train_v8/final/20175_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/20175_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the transparent container from the tabletop. Place the container on the tabletop.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/20175_exterior_image_1_left_pair0.png
/data1/dataset/DROID/train_v8/final/12515_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/12515_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the jar on the table. Place the jar on the scale.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/12515_exterior_image_2_left_pair0.png
/data1/dataset/DROID/train_v8/final/10885_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/10885_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the cup on the table. Place the cup behind the table.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/10885_exterior_image_2_left_pair0.png
/data1/dataset/DROID/train_v8/final/15069_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/15069_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the banana toy from the floor. Place the banana toy in the black backpack.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/15069_exterior_image_2_left_pair0.png
/data1/dataset/DROID/train_v8/final/11299_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/11299_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the blue cup from the drawer. Place the blue cup on the counter.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/11299_exterior_image_2_left_pair0.png
/data1/dataset/DROID/train_v8/final/14561_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/14561_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the red object on the counter. Place the red object inside the sink.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/14561_exterior_image_1_left_pair0.png
/data1/dataset/DROID/train_v8/final/13186_exterior_image_2_left_pair1.png,/data1/dataset/DROID/train_v8/kontext/13186_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the paper on the countertop. Place the paper in the transparent box.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/13186_exterior_image_2_left_pair1.png
/data1/dataset/DROID/train_v8/final/12361_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/12361_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the can on the table. Place the can on the metal plate.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/12361_exterior_image_2_left_pair0.png
/data1/dataset/DROID/train_v8/final/10854_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/10854_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the yellow pepper from the table. Place the yellow pepper inside the brown bowl.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/10854_exterior_image_1_left_pair0.png
/data1/dataset/DROID/train_v8/final/11904_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/11904_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the lid from the pot. Place the lid on the counter.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/11904_exterior_image_1_left_pair0.png
/data1/dataset/DROID/train_v8/final/12006_exterior_image_1_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/12006_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the lid on the pot. Place the lid on the countertop.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/12006_exterior_image_1_left_pair0.png
/data1/dataset/DROID/train_v8/final/12244_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/12244_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the orange can from the kitchen counter. Place the orange can in the sink.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/12244_exterior_image_2_left_pair0.png
/data1/dataset/DROID/train_v8/final/13622_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/13622_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the green block on the table. Place the green block on the orange block.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/13622_exterior_image_2_left_pair0.png
/data1/dataset/DROID/train_v8/final/20196_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/20196_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the first cushion on the sofa. Place the first cushion against the armrest.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/20196_exterior_image_2_left_pair0.png
/data1/dataset/DROID/train_v8/final/20196_exterior_image_2_left_pair1.png,/data1/dataset/DROID/train_v8/kontext/20196_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the second cushion on the sofa. Place the second cushion in front of the first cushion, against the armrest.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/20196_exterior_image_2_left_pair1.png
/data1/dataset/DROID/train_v8/final/13261_exterior_image_2_left_pair0.png,/data1/dataset/DROID/train_v8/kontext/13261_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. Pick up the marker on the table. Place the marker on the table.",/data1/dataset/DROID/train_v8/lossmask_capinf_disc/13261_exterior_image_2_left_pair0.png
