image,kontext_images,prompt
/data/datasets/DROID/train_v6/final/30314_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v6/kontext/30314_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 362 y 650 to x 419 y 783 , place point x 369 y 633 . Pick up the light green cup from the countertop. Place the light green cup inside the light green bowl."
/data/datasets/DROID/train_v6/final/30314_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v6/kontext/30314_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 419 y 661 to x 481 y 778 , place point x 400 y 567 . Pick up a knife from the countertop. Place the knife in the light green cup."
/data/datasets/DROID/train_v6/final/11300_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v6/kontext/11300_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 459 y 461 to x 534 y 528 , place point x 553 y 639 . Pick up the cup from the counter. Place the cup on the table."
/data/datasets/DROID/train_v6/final/11300_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v6/kontext/11300_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 484 y 511 to x 572 y 606 , place point x 531 y 522 . Pick up the bowl from the counter. Place the bowl on the table."
/data/datasets/DROID/train_v6/final/90405_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v6/kontext/90405_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 456 y 600 to x 491 y 661 , place point x 528 y 444 . Pick up the orange block on the blue table. Place the orange block in the black bowl."
/data/datasets/DROID/train_v6/final/90405_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v6/kontext/90405_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 412 y 589 to x 441 y 639 , place point x 544 y 367 . Pick up the green block on the blue table. Place the green block in the black bowl."
/data/datasets/DROID/train_v6/final/41090_exterior_image_2_left_pair0.png,/data/datasets/DROID/train_v6/kontext/41090_exterior_image_2_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 362 y 622 to x 434 y 794 , place point x 528 y 694 . Pick up the cup on the table. Place the cup on top of the cup."
/data/datasets/DROID/train_v6/final/41090_exterior_image_2_left_pair1.png,/data/datasets/DROID/train_v6/kontext/41090_exterior_image_2_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 500 y 644 to x 559 y 750 , place point x 569 y 756 . Pick up the cup from the table. Place the cup on top of the cup."
/data/datasets/DROID/train_v6/final/69850_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v6/kontext/69850_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 575 y 372 to x 600 y 406 , place point x 622 y 389 . Remove glue stick from the mug. Place glue stick on the desktop."
/data/datasets/DROID/train_v6/final/69850_exterior_image_1_left_pair1.png,/data/datasets/DROID/train_v6/kontext/69850_exterior_image_1_left_pair1.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 603 y 361 to x 641 y 417 , place point x 606 y 394 . Pick up glue stick from the desktop. Place glue stick into the mug."
/data/datasets/DROID/train_v6/final/41083_exterior_image_1_left_pair0.png,/data/datasets/DROID/train_v6/kontext/41083_exterior_image_1_left_pair0.png,"Follow the markers in the image: the green box marks the object to grasp, the blue dot marks where to place it. Show the scene after the object has been moved to the marked location. grasp box x 500 y 678 to x 531 y 767 , place point x 512 y 711 . Pick up the cylinder on the table. Place the cylinder on top of the other cylinders."
